#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
1,USA,"25,566,789",,"427,635 ",,"15,330,949",,"9,808,205","26,998","76,986","1,288","297,396,960","895,510","332,097,997 "
2,India,"10,655,435",,"153,376 ",,"10,316,786",+690,"185,273","8,944","7,679",111,"191,766,871","138,196","1,387,641,848 "
3,Brazil,"8,816,254",,"216,475 ",,"7,628,438",,"971,341","8,318","41,311","1,014","28,600,000","134,013","213,411,432 "
4,Russia,"3,719,400","+21,127","69,462 ",+491,"3,131,760","+22,445","518,178","2,300","25,481",476,"99,300,000","680,277","145,969,890 "
5,UK,"3,617,459",,"97,329 ",,"1,616,307",,"1,903,823","4,076","53,130","1,429","67,231,066","987,424","68,087,328 "
6,France,"3,035,181",,"72,877 ",,"216,725",,"2,745,579","2,896","46,441","1,115","41,549,254","635,745","65,355,200 "
7,Spain,"2,603,472",,"55,441 ",,N/A,N/A,N/A,"3,908","55,671","1,186","30,165,217","645,038","46,765,031 "
8,Italy,"2,455,185",,"85,162 ",,"1,871,189",,"498,834","2,386","40,641","1,410","30,717,824","508,477","60,411,435 "
9,Turkey,"2,424,328",,"24,933 ",,"2,301,861",,"97,534","1,962","28,572",294,"28,348,659","334,105","84,849,626 "
10,Germany,"2,137,689",,"52,536 ",,"1,807,500","+12,100","277,653","4,787","25,468",626,"37,449,922","446,176","83,935,370 "
11,Colombia,"2,002,969",,"50,982 ",,"1,822,309",,"129,678","3,482","39,130",996,"9,575,784","187,071","51,188,022 "
12,Argentina,"1,862,192",,"46,737 ",,"1,646,668",,"168,787","3,618","40,991","1,029","5,853,255","128,843","45,429,329 "
13,Mexico,"1,752,347","+20,057","149,084 ","+1,470","1,306,138","+14,198","297,125","5,652","13,511","1,149","4,404,916","33,964","129,694,962 "
14,Poland,"1,470,879",,"35,253 ",,"1,222,782",,"212,844","1,477","38,888",932,"8,328,586","220,198","37,823,122 "
15,South Africa,"1,404,839",,"40,574 ",,"1,217,492",,"146,773",546,"23,520",679,"7,947,007","133,051","59,728,863 "
16,Iran,"1,367,032",,"57,294 ",,"1,158,475",,"151,263","4,106","16,159",677,"8,634,553","102,067","84,596,958 "
